function,dimension,algorithm,best_y,total_time,total_sample,first_reach_sample,timeout_reached
michalewicz,10,dual_annealing,-9.660055160522461,16.60197687149048,21222,20047,False
michalewicz,10,dual_annealing,-9.660042762756348,18.91291117668152,21398,21345,False
michalewicz,10,dual_annealing,-9.655105590820312,24.209381818771362,22454,22353,False
michalewicz,10,gurobi,-9.714386416433353,0.40548205375671387,1,0,
michalewicz,10,gurobi,-9.714386416433353,0.4062459468841553,1,0,
michalewicz,10,gurobi,-9.714386416433353,0.46493101119995117,1,0,
michalewicz,10,gurobi,-9.714386416433353,0.4721670150756836,1,0,
michalewicz,10,gurobi,-9.714386416433353,0.48824000358581543,1,0,
michalewicz,10,shgo,inf,213.15694403648376,0,0,False
michalewicz,10,shgo,inf,238.90996050834656,0,0,False
michalewicz,10,shgo,inf,259.8310983181,0,0,False
michalewicz,10,shgo,inf,267.7156734466553,0,0,False
michalewicz,10,shgo,inf,270.3885853290558,0,0,False
michalewicz,10,simulated_annealing,-9.66012191772461,2.9193806648254395,20001,19333,False
michalewicz,10,simulated_annealing,-9.660043716430664,3.1281826496124268,20001,19958,False
michalewicz,10,simulated_annealing,-9.660037994384766,3.194765329360962,20001,19774,False
michalewicz,10,simulated_annealing,-9.660036087036133,2.920696973800659,20001,17592,False
michalewicz,10,simulated_annealing,-9.65997314453125,9.058364629745483,20001,18953,False
michalewicz,50,basinhopping,-10.078545570373535,166.23651504516602,533528,14417,False
michalewicz,50,basinhopping,-9.0968017578125,219.4502170085907,556244,521726,False
michalewicz,50,basinhopping,-8.860116004943848,79.49863028526306,623576,227745,False
michalewicz,50,basinhopping,-8.680301666259766,71.40631818771362,592496,24245,False
michalewicz,50,basinhopping,-7.500476360321045,64.22569370269775,473619,257780,False
michalewicz,50,differential_evolution,-22.133197784423828,399.653058052063,751260,751209,False
michalewicz,50,differential_evolution,-20.140663146972656,168.87402749061584,751158,751107,False
michalewicz,50,differential_evolution,-19.954870223999023,159.63587260246277,752841,752790,False
michalewicz,50,differential_evolution,-19.50596809387207,167.58944058418274,751158,751107,False
michalewicz,50,differential_evolution,-19.21847915649414,165.05996680259705,751413,751362,False
michalewicz,50,direct,-13.082693099975586,2.2565762996673584,30229,25609,False
michalewicz,50,direct,-13.082693099975586,2.2801413536071777,30229,25609,False
michalewicz,50,direct,-13.082693099975586,2.296931505203247,30229,25609,False
michalewicz,50,direct,-13.082693099975586,2.3901236057281494,30229,25609,False
michalewicz,50,direct,-13.082693099975586,2.4790384769439697,30229,25609,False
michalewicz,50,dual_annealing,-49.56044006347656,85.02102303504944,127439,127376,False
michalewicz,50,dual_annealing,-49.554054260253906,76.60566926002502,130142,129642,False
michalewicz,50,dual_annealing,-49.54047393798828,90.88311958312988,124532,124464,False
michalewicz,50,dual_annealing,-49.529945373535156,97.732736825943,125093,124193,False
michalewicz,50,dual_annealing,-49.52553176879883,94.1937210559845,130499,129606,False
michalewicz,50,gurobi,-49.85208419858109,4.864500999450684,1,0,
michalewicz,50,gurobi,-49.85208419858109,4.865312099456787,1,0,
michalewicz,50,gurobi,-49.85208419858109,4.867042064666748,1,0,
michalewicz,50,gurobi,-49.85208419858109,4.966436147689819,1,0,
michalewicz,50,gurobi,-49.85208419858109,5.193545818328857,1,0,
michalewicz,50,shgo,inf,600.166942358017,0,0,True
